symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
CHZTRY,-0.03600000,-2.215,1.60536281,1.62400000,1.58900000,6159.00000000,1.58900000,1369.00000000,1.59000000,14013.00000000,1.62500000,1.62900000,1.57300000,5354697.00000000,8596231.42500000,1694848569693,1694934969693,27866678,27870256,3579
XLMTRY,-0.04700000,-1.449,3.21929544,3.24500000,3.19700000,107.00000000,3.19500000,54924.00000000,3.19800000,107.00000000,3.24400000,3.25200000,3.15000000,1561948.00000000,5028372.07200000,1694848571485,1694934971485,4637413,4639904,2492
LINKGBP,-0.06900000,-1.321,5.19293355,5.23300000,5.15500000,47.42000000,5.14700000,16.12000000,5.16900000,19.04000000,5.22400000,5.22500000,5.14700000,277.51000000,1441.09099000,1694848555110,1694934955110,1321971,1321988,18
GRTEUR,-0.00020000,-0.246,0.08099635,0.08130000,0.08100000,92.00000000,0.08080000,2321.00000000,0.08100000,26764.00000000,0.08120000,0.08170000,0.08030000,81163.00000000,6573.90710000,1694848558619,1694934958619,2487560,2487660,101
BTCSTBTC,0.00000000,0.000,0.00000000,0.00033100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
BTCSTBUSD,0.00000000,0.000,0.00000000,1.16000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
BTCSTUSDT,0.00000000,0.000,0.00000000,5.35000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
TRUBTC,0.00000004,2.985,0.00000135,0.00000134,0.00000138,550.00000000,0.00000136,150521.00000000,0.00000138,148406.00000000,0.00000134,0.00000140,0.00000132,2019931.00000000,2.72260132,1694848572658,1694934972658,5277391,5278159,769
TRUBUSD,0.00000000,0.000,0.00000000,0.53570000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
TRUUSDT,0.00090000,2.535,0.03605099,0.03550000,0.03640000,38434.00000000,0.03630000,630772.00000000,0.03640000,195113.00000000,0.03550000,0.03720000,0.03500000,89282082.00000000,3218707.43410000,1694848572702,1694934972702,29850904,29863917,13014
DEXEETH,0.00001000,0.748,0.00133811,0.00132900,0.00134700,7.51000000,0.00134400,45.64000000,0.00135300,7.50000000,0.00133700,0.00135700,0.00132000,550.00000000,0.73596122,1694848527741,1694934927741,1996495,1996555,61
DEXEBUSD,0.00500000,0.228,2.19015561,2.18500000,2.19800000,14.53000000,2.19600000,4.95000000,2.20700000,75.52000000,2.19300000,2.21400000,2.14400000,5176.53000000,11337.40623000,1694848496636,1694934896636,9977789,9978022,234
EOSEUR,-0.01100000,-2.033,0.53818676,0.54100000,0.53000000,1171.00000000,0.53000000,2216.70000000,0.53300000,2244.50000000,0.54100000,0.54500000,0.53000000,20151.40000000,10845.21670000,1694848572648,1694934972648,1763955,1764103,149
LTCBRL,-7.30000000,-2.275,317.14484685,321.00000000,313.60000000,0.06300000,313.60000000,1.43500000,314.00000000,4.34900000,320.90000000,321.50000000,312.20000000,832.76300000,264106.49410000,1694848554667,1694934954667,1964396,1965182,787
USDCBUSD,0.00000000,0.000,0.00000000,0.99990000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
TUSDBUSD,0.00050000,0.050,0.99890508,0.99860000,0.99920000,2727.00000000,0.99910000,46393.00000000,0.99920000,97406.00000000,0.99870000,0.99920000,0.99850000,1246192.00000000,1244827.51420000,1694847852576,1694934252576,1742138,1749263,7126
PAXBUSD,0.00000000,0.000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
CKBBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
CKBBUSD,-0.00025800,-8.872,0.00279122,0.00291100,0.00265000,3874.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00290800,0.00299200,0.00250100,15084098.00000000,42103.02324400,1692241204377,1692327604377,6122951,6123638,688
CKBUSDT,-0.00007900,-2.822,0.00277327,0.00280000,0.00272000,53983.00000000,0.00271900,10000.00000000,0.00272000,129336.00000000,0.00279900,0.00282400,0.00270500,120541870.00000000,334295.14044300,1694848570454,1694934970454,24919783,24924848,5066
TWTBTC,-0.00000031,-1.018,0.00003045,0.00003033,0.00003014,93.00000000,0.00003012,47.00000000,0.00003020,75.00000000,0.00003045,0.00003094,0.00003004,13289.00000000,0.40462085,1694848558158,1694934958158,4853253,4853440,188
TWTBUSD,-0.00220000,-0.274,0.80739740,0.80470000,0.79970000,200.00000000,0.79990000,125.00000000,0.80080000,1000.00000000,0.80190000,0.81460000,0.79850000,62172.00000000,50197.51140000,1694848415771,1694934815771,15194307,15194845,539
TWTUSDT,-0.00270000,-0.336,0.80741268,0.80320000,0.80000000,217.00000000,0.80020000,84.00000000,0.80080000,94.00000000,0.80270000,0.81570000,0.79800000,959710.00000000,774882.02440000,1694848553979,1694934953979,38321565,38329461,7897
FIROBTC,0.00000060,1.083,0.00005574,0.00005530,0.00005600,215.60000000,0.00005600,1280.80000000,0.00005620,20.50000000,0.00005540,0.00005700,0.00005480,17214.10000000,0.95959776,1694848479235,1694934879235,3341027,3342198,1172
FIROETH,0.00000000,0.000,0.00000000,0.00133300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
FIROUSDT,0.02100000,1.431,1.48294552,1.47000000,1.48900000,542.30000000,1.48800000,538.20000000,1.48900000,8.50000000,1.46800000,1.51600000,1.45100000,144331.90000000,214036.34390000,1694848569368,1694934969368,13256903,13259714,2812
BETHETH,0.00010000,0.010,0.99908855,0.99910000,0.99930000,0.01700000,0.99930000,65.02240000,0.99940000,35.55530000,0.99920000,0.99940000,0.99870000,1703.62690000,1702.07412550,1694848503276,1694934903276,4486050,4487622,1573
DOGEEUR,0.00021000,0.360,0.05830597,0.05847000,0.05862000,591.00000000,0.05859000,4493.00000000,0.05863000,2154.00000000,0.05841000,0.05869000,0.05750000,1946362.00000000,113484.52187000,1694848571095,1694934971095,22604199,22605798,1600
DOGETRY,0.00800000,0.473,1.68831094,1.68900000,1.69800000,194.00000000,1.69700000,297.00000000,1.69800000,13250.00000000,1.69000000,1.69900000,1.66500000,8477098.00000000,14311977.26500000,1694848572431,1694934972431,40744739,40747484,2746
DOGEAUD,0.00000000,0.000,0.00000000,0.09449000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
DOGEBRL,0.00220000,0.722,0.30495878,0.30410000,0.30680000,162.00000000,0.30640000,3200.00000000,0.30670000,442.00000000,0.30460000,0.30760000,0.30090000,404837.00000000,123458.59870000,1694848568364,1694934968364,5707099,5707423,325
DOTNGN,0.00000000,0.000,0.00000000,10716.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
PROSETH,0.00000000,0.000,0.00000000,0.00021600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
LITBTC,0.00000022,0.872,0.00002487,0.00002516,0.00002545,23.50000000,0.00002548,1798.90000000,0.00002558,4.40000000,0.00002523,0.00002589,0.00002432,68690.90000000,1.70809750,1694848555154,1694934955154,5301229,5301757,529
LITBUSD,0.01100000,1.649,0.66930768,0.66800000,0.67800000,380.30000000,0.67800000,18.70000000,0.67900000,3504.40000000,0.66700000,0.68800000,0.64100000,424906.50000000,284393.18530000,1694848548539,1694934948539,11647384,11649790,2407
LITUSDT,0.00900000,1.345,0.66224485,0.66800000,0.67800000,42.20000000,0.67800000,998.10000000,0.67900000,25201.90000000,0.66900000,0.68700000,0.64300000,3619310.90000000,2396870.00960000,1694848570159,1694934970159,56968328,56980551,12224
BTCVAI,0.00000000,0.000,0.00000000,56876.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
BUSDVAI,0.00000000,0.000,1.00400000,1.00900000,1.00400000,10856.50000000,1.00400000,6112.20000000,1.00900000,1.60000000,1.00400000,1.00400000,1.00400000,10856.50000000,10899.92600000,1694842369267,1694928769267,648574,648580,7
SFPBTC,-0.00000150,-6.488,0.00002239,0.00002315,0.00002162,104.00000000,0.00002163,348.00000000,0.00002166,667.00000000,0.00002312,0.00002320,0.00002153,63310.00000000,1.41728692,1694848561896,1694934961896,5104034,5104853,820
SFPBUSD,-0.04010000,-6.522,0.59084393,0.61230000,0.57470000,19.00000000,0.57390000,256.00000000,0.57560000,839.00000000,0.61480000,0.61480000,0.57060000,85730.00000000,50653.04970000,1694848563977,1694934963977,9188212,9189309,1098
SFPUSDT,-0.03910000,-6.375,0.59388968,0.61320000,0.57420000,161.00000000,0.57420000,381.00000000,0.57440000,369.00000000,0.61330000,0.61530000,0.57090000,2872024.00000000,1705665.41960000,1694848569249,1694934969249,45261376,45272555,11180
DOGEGBP,0.00018000,0.348,0.05159539,0.05166000,0.05193000,455.00000000,0.05176000,400.00000000,0.05189000,480.00000000,0.05175000,0.05193000,0.05106000,70692.00000000,3647.38157000,1694848563576,1694934963576,7543543,7543620,78
DOTTRY,-1.80000000,-1.579,113.07093858,114.00000000,112.20000000,0.45000000,112.10000000,3.04000000,112.20000000,59.15000000,114.00000000,114.00000000,111.70000000,16943.39000000,1915805.01000000,1694848527788,1694934927788,3853104,3854071,968
FXSBTC,-0.00000601,-2.921,0.00020308,0.00020468,0.00019971,0.60000000,0.00019980,4.90000000,0.00020025,37.70000000,0.00020572,0.00020605,0.00019875,2196.90000000,0.44614398,1694848572463,1694934972463,3573664,3573959,296
FXSBUSD,-0.13100000,-2.408,5.36814254,5.42600000,5.31000000,53.00000000,5.30400000,88.20000000,5.31000000,78.00000000,5.44100000,5.45400000,5.26600000,8990.00000000,48259.60140000,1694848547839,1694934947839,9130215,9130674,460
DODOBTC,-0.00000012,-3.279,0.00000358,0.00000364,0.00000354,29.50000000,0.00000352,1069.90000000,0.00000353,2091.20000000,0.00000366,0.00000369,0.00000350,234537.60000000,0.84079518,1694848556751,1694934956751,3803787,3804434,648
DODOBUSD,-0.00340000,-3.516,0.09531304,0.09670000,0.09330000,6460.90000000,0.09340000,5789.40000000,0.09360000,32542.90000000,0.09670000,0.09790000,0.09280000,2737843.20000000,260952.15404000,1694848537254,1694934937254,12555034,12557880,2847
DODOUSDT,-0.00310000,-3.206,0.09522006,0.09670000,0.09360000,115.70000000,0.09350000,2572.70000000,0.09360000,35618.70000000,0.09670000,0.09790000,0.09270000,17957130.70000000,1709879.05689000,1694848555950,1694934955950,35816491,35828347,11857
FRONTBTC,0.00000207,32.962,0.00000837,0.00000628,0.00000835,4577.00000000,0.00000832,869.00000000,0.00000834,4582.00000000,0.00000628,0.00001000,0.00000617,8956553.00000000,74.95227164,1694848571998,1694934971998,3553857,3575598,21742
EASYBTC,0.00000000,0.000,0.00000000,0.00029250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
CAKEBTC,0.00000000,0.000,0.00004404,0.00004420,0.00004410,385.88000000,0.00004400,4996.10000000,0.00004420,2718.92000000,0.00004410,0.00004430,0.00004390,23737.11000000,1.04547890,1694848486577,1694934886577,12764467,12764724,258
CAKEUSDT,0.00000000,0.000,1.16878195,1.17200000,1.17200000,274.41000000,1.17100000,2186.93000000,1.17200000,11506.04000000,1.17200000,1.17500000,1.16100000,1549108.16000000,1810569.65262000,1694848562155,1694934962155,75906340,75918206,11867
BAKEBUSD,0.00760000,7.129,0.11017319,0.10660000,0.11420000,219.40000000,0.11420000,109.60000000,0.11430000,3180.30000000,0.10660000,0.11700000,0.10480000,10793947.40000000,1189203.67109000,1694848567089,1694934967089,24497572,24509491,11920
UFTETH,0.00001240,8.927,0.00014617,0.00013940,0.00015130,14.00000000,0.00015030,612.00000000,0.00015160,812.00000000,0.00013890,0.00015480,0.00013790,98228.00000000,14.35814260,1694848571733,1694934971733,2335889,2336836,948
UFTBUSD,-0.02150000,-9.446,0.21893789,0.22950000,0.20610000,98.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22760000,0.23100000,0.19690000,632494.00000000,138476.90430000,1692241227439,1692327627439,13974570,13976132,1563
1INCHBUSD,-0.00650000,-2.523,0.25343091,0.25770000,0.25110000,49.90000000,0.25100000,768.10000000,0.25120000,56.20000000,0.25760000,0.25850000,0.24870000,134364.00000000,34051.99095000,1694848562774,1694934962774,7974445,7975117,673
BANDBUSD,-0.00100000,-0.096,1.03501807,1.03900000,1.03600000,12.20000000,1.03600000,12.20000000,1.03700000,622.10000000,1.03700000,1.04800000,1.01500000,67331.40000000,69689.21580000,1694848557344,1694934957344,7032466,7033750,1285
GRTBUSD,-0.00040000,-0.462,0.08631243,0.08630000,0.08610000,2833.00000000,0.08610000,348.00000000,0.08620000,146.00000000,0.08650000,0.08740000,0.08530000,1185334.00000000,102309.06310000,1694848564300,1694934964300,14158903,14160296,1394
IOSTBUSD,-0.00017000,-2.319,0.00730983,0.00731000,0.00716000,7045.60000000,0.00715000,797676.10000000,0.00718000,55287.70000000,0.00733000,0.00737000,0.00713000,5053422.30000000,36939.67408800,1694848573021,1694934973021,4729514,4729869,356
OMGBUSD,0.01500000,3.326,0.45434836,0.45100000,0.46600000,125.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.45100000,0.47200000,0.43900000,87974.30000000,39970.97920000,1694070008683,1694156408683,5707307,5707544,238
REEFBUSD,-0.00005900,-4.370,0.00132530,0.00135100,0.00129100,129808.00000000,0.00129200,45199.00000000,0.00129400,599371.60000000,0.00135000,0.00136500,0.00128800,88630151.40000000,117461.29552120,1694848531040,1694934931040,13349709,13352704,2996
ACMBTC,0.00000000,0.000,0.00000000,0.00009050,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
ACMBUSD,-0.02400000,-1.144,2.08565038,2.10400000,2.07300000,37.90000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09700000,2.13200000,2.05500000,37500.30000000,78212.51510000,1690254003635,1690340403635,3612817,3613373,557
ACMUSDT,-0.00600000,-0.323,1.85403996,1.86300000,1.85400000,16.80000000,1.85300000,37.30000000,1.85400000,28.00000000,1.86000000,1.87800000,1.83000000,153031.70000000,283726.88690000,1694848522157,1694934922157,14267857,14271392,3536
AUCTIONBTC,0.00000080,0.419,0.00019865,0.00019020,0.00019180,0.94000000,0.00019160,115.40000000,0.00019250,0.94000000,0.00019100,0.00022010,0.00018290,69674.46000000,13.84053550,1694848572977,1694934972977,4105794,4109272,3479
AUCTIONBUSD,0.04000000,0.792,5.32161760,5.04000000,5.09000000,20.69000000,5.09000000,63.35000000,5.10000000,30.62000000,5.05000000,5.84000000,4.85000000,195440.36000000,1040058.85970000,1694848570383,1694934970383,9838280,9845350,7071
PHABTC,0.00000005,1.397,0.00000361,0.00000357,0.00000363,553.00000000,0.00000364,1034.00000000,0.00000365,253.00000000,0.00000358,0.00000370,0.00000356,302698.00000000,1.09384491,1694848520088,1694934920088,4656409,4657367,959
PHABUSD,0.00160000,1.681,0.09601066,0.09440000,0.09680000,173.00000000,0.09660000,1035.00000000,0.09680000,134.00000000,0.09520000,0.09810000,0.09430000,472318.00000000,45347.56310000,1694848523326,1694934923326,11744888,11745474,587
DOTGBP,-0.05000000,-1.438,3.45842030,3.48000000,3.42600000,17.62000000,3.41900000,39.85000000,3.42800000,25.68000000,3.47600000,3.47700000,3.42000000,1926.22000000,6661.67835000,1694848570055,1694934970055,1557682,1557732,51
ADATRY,-0.03000000,-0.441,6.78467422,6.80000000,6.77000000,4663.30000000,6.76000000,11887.20000000,6.77000000,13603.30000000,6.80000000,6.83000000,6.71000000,458350.70000000,3109760.18000000,1694848565527,1694934965527,9507344,9509024,1681
ADABRL,-0.00500000,-0.408,1.22387202,1.22500000,1.22000000,38.00000000,1.22200000,294.40000000,1.22300000,1268.70000000,1.22500000,1.23200000,1.21500000,66261.90000000,81096.08540000,1694848553833,1694934953833,5793341,5793701,361
ADAGBP,-0.00100000,-0.480,0.20772352,0.20940000,0.20740000,384.40000000,0.20640000,864.10000000,0.20690000,397.50000000,0.20840000,0.20930000,0.20580000,20895.00000000,4340.38304000,1694848536532,1694934936532,4250482,4250556,75
TVKBTC,0.00000000,0.000,0.00000072,0.00000070,0.00000071,49476.00000000,0.00000071,266194.00000000,0.00000072,82825.00000000,0.00000071,0.00000073,0.00000070,1564847.00000000,1.12088371,1694848427164,1694934827164,9172337,9172764,428
TVKBUSD,0.00025000,1.239,0.02015122,0.02019000,0.02043000,2047.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02018000,0.02043000,0.01969000,852635.00000000,17181.63482000,1694070035045,1694156435045,19713747,19713946,200
BADGERBTC,0.00000330,4.125,0.00008039,0.00008000,0.00008330,238.82000000,0.00008320,14.12000000,0.00008350,15.00000000,0.00008000,0.00008370,0.00007780,22397.52000000,1.80050072,1694848571955,1694934971955,2624297,2625131,835
BADGERBUSD,0.09500000,4.490,2.13492660,2.11600000,2.21100000,242.02000000,2.20700000,90.62000000,2.21200000,12.37000000,2.11600000,2.21100000,2.08000000,15080.08000000,32194.86395000,1694848571955,1694934971955,3920992,3921388,397
BADGERUSDT,0.09200000,4.344,2.14348039,2.11800000,2.21000000,29.34000000,2.20900000,33.08000000,2.21000000,2.72000000,2.11800000,2.21700000,2.08000000,776814.42000000,1665086.47544000,1694848571954,1694934971954,14266116,14276473,10358
FISBTC,0.00000055,5.901,0.00000952,0.00000932,0.00000987,19.00000000,0.00000985,573.00000000,0.00000988,1807.00000000,0.00000932,0.00000990,0.00000919,888392.00000000,8.45565052,1694848572810,1694934972810,3355701,3362118,6418
FISBUSD,0.01440000,5.813,0.25608483,0.24700000,0.26210000,142.00000000,0.26140000,1442.00000000,0.26220000,199.00000000,0.24770000,0.26370000,0.24340000,160007.00000000,40975.36460000,1694848571735,1694934971735,7518308,7518768,461
FISUSDT,0.01540000,6.240,0.25277172,0.24670000,0.26220000,123.00000000,0.26220000,279.00000000,0.26260000,2871.00000000,0.24680000,0.26320000,0.24370000,5739355.00000000,1450746.64950000,1694848572912,1694934972912,18386133,18398317,12185
DOTBRL,-0.25000000,-1.218,20.39347481,20.55000000,20.27000000,0.56000000,20.25000000,14.42000000,20.27000000,18.99000000,20.52000000,20.56000000,20.17000000,2791.98000000,56938.17380000,1694848528260,1694934928260,1965658,1965864,207
ADAAUD,0.00000000,0.000,0.00000000,0.50540000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
HOTTRY,-0.00062000,-2.100,0.02929953,0.02953000,0.02891000,575052.00000000,0.02890000,1175557.00000000,0.02891000,35000.00000000,0.02953000,0.02966000,0.02863000,121908461.00000000,3571860.44699000,1694848572223,1694934972223,21717666,21719298,1633
EGLDEUR,0.61000000,2.589,24.35740507,23.57000000,24.17000000,15.00000000,24.21000000,40.04000000,24.26000000,17.71000000,23.56000000,25.00000000,23.30000000,4302.39000000,104795.05600000,1694848556407,1694934956407,3132573,3133435,863
OMBTC,0.00000001,1.449,0.00000070,0.00000069,0.00000070,171.00000000,0.00000070,398475.00000000,0.00000071,188721.00000000,0.00000069,0.00000071,0.00000068,3755945.00000000,2.62563830,1694848567436,1694934967436,3050591,3051323,733
